MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929576,0.1140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.0570000,53.0192184,-145.9546509,-0.1140284
MsgID.LOCAL_VELOCITY,94.0570000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929572,0.1150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.3070000,52.9784203,-145.9474182,-0.1158069
MsgID.LOCAL_VELOCITY,94.3070000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929585,0.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.5570000,53.1147461,-145.9471741,-0.1232394
MsgID.LOCAL_VELOCITY,94.5570000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929594,0.1400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,94.8070000,53.2217484,-145.9474030,-0.1405782
MsgID.LOCAL_VELOCITY,94.8070000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990949,37.7929582,0.1670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.0570000,53.0889587,-145.9192810,-0.1670538
MsgID.LOCAL_VELOCITY,95.0570000,-0.0000081,0.0000397,0.0000180
MsgID.GLOBAL_POSITION,0.0000000,-122.3990947,37.7929579,0.1980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.3070000,53.0532303,-145.9059296,-0.1984001
MsgID.LOCAL_VELOCITY,95.3070000,-0.0000027,0.0000514,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3990949,37.7929588,0.2280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.5570000,53.1554337,-145.9204712,-0.2286523
MsgID.LOCAL_VELOCITY,95.5570000,0.0000046,0.0000556,0.0000174
MsgID.GLOBAL_POSITION,0.0000000,-122.3990950,37.7929576,0.2510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,95.8070000,53.0219574,-145.9276733,-0.2517009
MsgID.LOCAL_VELOCITY,95.8070000,-0.0000056,0.0000476,0.0000230
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990935,37.7929593,0.2630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.0570000,53.2071114,-145.7976074,-0.2631828
MsgID.LOCAL_VELOCITY,96.0570000,-0.0000038,0.0000487,0.0000134
MsgID.GLOBAL_POSITION,0.0000000,-122.3990946,37.7929600,0.2610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.3070000,53.2813110,-145.9000854,-0.2613090
MsgID.LOCAL_VELOCITY,96.3070000,-0.0000024,0.0000514,0.0000291
MsgID.GLOBAL_POSITION,0.0000000,-122.3990952,37.7929587,0.2460000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.5580000,53.1467972,-145.9474182,-0.2465371
MsgID.LOCAL_VELOCITY,96.5580000,0.0000038,0.0000578,0.0000189
MsgID.GLOBAL_POSITION,0.0000000,-122.3990950,37.7929576,0.2210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,96.8080000,53.0188179,-145.9347992,-0.2213090
MsgID.LOCAL_VELOCITY,96.8080000,-0.0000008,0.0000530,0.0000209
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3990935,37.7929591,0.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,97.0580000,53.1830177,-145.8017578,-0.1892900
MsgID.LOCAL_VELOCITY,97.0580000,-0.0008394,0.0004077,0.0000580
MsgID.GLOBAL_POSITION,0.0000000,-122.3990947,37.7929593,0.1540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,97.3080000,53.2122879,-145.9046783,-0.1541190
MsgID.LOCAL_VELOCITY,97.3080000,-0.0000025,0.0000479,-0.0000021
MsgID.GLOBAL_POSITION,0.0000000,-122.3990964,37.7929579,0.1190000
